curdr,month,predr,predtr,prerain
275,2,310,10.3,41.2
276,3,275,9,7.2
256,4,276,9.1,38.0
211,5,256,9.2,89.9
340,6,211,8.9,149.9
704,7,340,7.8,175.6
1031,8,704,7.2,200.1
1063,9,1031,8.1,233.6
1666,10,1063,7.3,364.1
2260,11,1666,7.9,392.3
1689,12,2260,8.5,79.9
1515,1,1689,10.5,1.6
764,2,1515,11.2,0.0
643,3,764,8.6,2.1
553,4,643,8.1,39.6
641,5,553,8.7,7.8
972,6,641,9.3,99.9
1901,7,972,7.6,147.4
2194,8,1901,7.4,98.2
1642,9,2194,7.9,276.0
1649,10,1642,8.1,188.0
1611,11,1649,7.9,211.2
961,12,1611,8.5,22.5
530,1,961,8.6,31.0
325,2,530,9.6,3.5
270,3,325,9,16.8
182,4,270,8,183.9
187,5,182,8.7,128.9
227,6,187,8.3,82.5
376,7,227,8.6,495.0
469,8,376,7.8,220.8
575,9,469,7.9,50.5
654,10,575,8.1,352.4
875,11,654,7.2,334.2
912,12,875,8,34.9
,,,,
