curdr,predr,prendr,,,,
11.84789793,12.47147151,12.02575803,36.74813314,28.6547,0.5938,0.0572
4.988588604,11.84789793,6.680976682,36.07213366,28.6547,0.5938,0.0572
4.988588604,4.988588604,7.158189303,32.02637234,28.6547,0.5938,0.0572
14.34219224,4.988588604,6.299206586,31.97723853,28.6547,0.5938,0.0572
26.81366374,14.34219224,16.98876928,38.14285135,28.6547,0.5938,0.0572
36.16726738,26.81366374,21.18824034,45.78862088,28.6547,0.5938,0.0572
64.85165185,36.16726738,28.82364226,51.7795357,28.6547,0.5938,0.0572
63.6045047,64.85165185,40.46763019,69.47835931,28.6547,0.5938,0.0572
117.2318322,63.6045047,54.11591113,69.518485,28.6547,0.5938,0.0572
245.0644152,117.2318322,84.1803062,103.0820755,28.6547,0.5938,0.0572
109.1253757,245.0644152,178.85929,184.4047011,28.6547,0.5938,0.0572
