actual,predr,,,,
764,1515,1357.2934,77.65620419,145.1419,0.8001
643,764,756.4183,17.63892691,,
553,643,659.6062,19.27779385,,
641,553,587.5972,8.331170047,,
972,641,658.006,32.30390947,,
1901,972,922.8391,51.45507102,,
2194,1901,1666.132,24.05961714,,
1642,2194,1900.5613,15.7467296,,
1649,1642,1458.9061,11.52782899,,
1611,1649,1464.5068,9.093308504,,
961,1611,1434.103,49.23028096,,
530,961,914.038,72.46,,
325,530,569.1949,75.13689231,,
270,325,405.1744,50.06459259,,
182,270,361.1689,98.44445055,,
187,182,290.7601,55.48668449,,
227,187,294.7606,29.85048458,,
376,227,326.7646,13.09452128,,
469,376,445.9795,4.908422175,,
575,469,520.3888,9.4976,,
654,575,605.1994,7.461865443,,
875,654,668.4073,23.61059429,,
912,875,845.2294,7.321337719,,
757,912,874.8331,15.56579921,,
445,757,750.8176,68.72305618,,
419,445,501.1864,19.6148926,,
414,419,480.3838,16.0347343,,
1002,414,476.3833,52.45675649,,
1100,1002,946.8421,13.92344545,,
1593,1100,1025.2519,35.64018205,,
2393,1593,1419.7012,40.67274551,,
2817,2393,2059.7812,26.88032659,,
3965,2817,2399.0236,39.49499117,,
8334,3965,3317.5384,60.19272378,,
4938,8334,6813.1753,37.97438842,,
,,,34.02378079,,
